date,shop_id,orders,gross_sales,refunds,net_sales
2026-06-18,shop_demo_dtc,159,11106.42,776.75,10329.67
2026-06-19,shop_demo_dtc,114,11278.53,492.56,10785.97
2026-06-20,shop_demo_dtc,92,10053.4,453.03,9600.37
2026-06-21,shop_demo_dtc,80,8774.36,683.14,8091.22
2026-06-22,shop_demo_dtc,110,11553.17,883.48,10669.69
2026-06-23,shop_demo_dtc,129,11767.85,404.44,11363.41
2026-06-24,shop_demo_dtc,168,12080.52,854.44,11226.08
2026-06-25,shop_demo_dtc,119,11845.18,682.9,11162.28
2026-06-26,shop_demo_dtc,155,11783.8,864.17,10919.63
2026-06-27,shop_demo_dtc,128,8889.42,546.73,8342.69
2026-06-28,shop_demo_dtc,87,8865.64,456.53,8409.11
2026-06-29,shop_demo_dtc,140,12293.09,846.56,11446.53
2026-06-30,shop_demo_dtc,121,12340.09,630.68,11709.41
2026-07-01,shop_demo_dtc,104,10965.51,651.19,10314.32
2026-07-02,shop_demo_dtc,109,11076.75,728.32,10348.43
2026-07-03,shop_demo_dtc,121,11445.89,443.66,11002.23
2026-07-04,shop_demo_dtc,125,10165.01,749.4,9415.61
2026-07-05,shop_demo_dtc,103,9072.37,446.94,8625.43
2026-07-06,shop_demo_dtc,128,12428.1,592.16,11835.94
2026-07-07,shop_demo_dtc,151,11480.23,575.23,10905
2026-07-08,shop_demo_dtc,131,11977.8,422.03,11555.77
2026-07-09,shop_demo_dtc,119,11738.29,442.36,11295.93
2026-07-10,shop_demo_dtc,132,12047.48,927.44,11120.04
2026-07-11,shop_demo_dtc,134,9341.06,465.7,8875.36
2026-07-12,shop_demo_dtc,97,9675.83,648.25,9027.58
2026-07-13,shop_demo_dtc,122,12596.45,933.11,11663.34
2026-07-14,shop_demo_dtc,127,11965.16,638.49,11326.67
2026-07-15,shop_demo_dtc,167,12641.65,547.96,12093.69
2026-07-16,shop_demo_dtc,164,11704.47,377.17,11327.3
2026-07-17,shop_demo_dtc,154,11380.94,842.11,10538.83
2026-07-18,shop_demo_dtc,103,9726.52,504.72,9221.8
2026-07-19,shop_demo_dtc,112,9724,439.21,9284.79
2026-07-20,shop_demo_dtc,115,11541.86,620.34,10921.52
2026-07-21,shop_demo_dtc,166,11306.28,710.01,10596.27
